563	2	0.0	(29,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(507,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	4	0.0	(182,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(451,1.0)	(517,1.0)	(548,1.0)	(561,1.0)	(562,1.0)
563	3	0.0	(231,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	13	0.0	(86,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(21,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(210,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	2	0.0	(462,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(53,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(66,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	2	0.0	(346,1.0)	(517,1.0)	(556,1.0)	(560,1.0)	(562,1.0)
563	7	0.0	(169,1.0)	(517,1.0)	(549,1.0)	(561,1.0)	(562,1.0)
563	1	0.0	(156,1.0)	(517,1.0)	(549,1.0)	(561,1.0)	(562,1.0)
563	1	0.0	(235,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(483,1.0)	(517,1.0)	(549,1.0)	(561,1.0)	(562,1.0)
563	6	0.0	(362,1.0)	(517,1.0)	(549,1.0)	(561,1.0)	(562,1.0)
563	14	0.0	(217,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	8	0.0	(431,1.0)	(517,1.0)	(549,1.0)	(561,1.0)	(562,1.0)
563	3	0.0	(21,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	2	0.0	(301,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	28	0.0	(38,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	101	0.0	(76,1.0)	(517,1.0)	(549,1.0)	(561,1.0)	(562,1.0)
563	1	0.0	(81,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(50,1.0)	(517,1.0)	(548,1.0)	(561,1.0)	(562,1.0)
563	6	0.0	(378,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	9	0.0	(144,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(98,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(340,1.0)	(517,1.0)	(549,1.0)	(561,1.0)	(562,1.0)
563	22	0.0	(193,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	28	0.0	(55,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	24	0.0	(305,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	5	0.0	(334,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(45,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	1	0.0	(429,1.0)	(517,1.0)	(549,1.0)	(560,1.0)	(562,1.0)
563	36	0.0	(293,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
563	41	0.0	(270,1.0)	(517,1.0)	(548,1.0)	(560,1.0)	(562,1.0)
